dosya,ai_skoru
dil_devrimi_standart.txt,0.82
dil_devrimi_oz_turkce.txt,0.71
ekonomi_standart.txt,0.88
ekonomi_oz_turkce.txt,0.65
egitim_standart.txt,0.79
egitim_oz_turkce.txt,0.58
teknoloji_standart.txt,0.91
teknoloji_oz_turkce.txt,0.52
saglik_standart.txt,0.85
saglik_oz_turkce.txt,0.61
cevre_standart.txt,0.77
cevre_oz_turkce.txt,0.48
kultur_standart.txt,0.83
kultur_oz_turkce.txt,0.55
medya_standart.txt,0.86
medya_oz_turkce.txt,0.59
tarih_standart.txt,0.80
tarih_oz_turkce.txt,0.62
bilim_standart.txt,0.84
bilim_oz_turkce.txt,0.54
edebiyat_standart.txt,0.78
edebiyat_oz_turkce.txt,0.57
toplum_standart.txt,0.81
toplum_oz_turkce.txt,0.60
hukuk_standart.txt,0.87
hukuk_oz_turkce.txt,0.50
is_dunyasi_standart.txt,0.76
is_dunyasi_oz_turkce.txt,0.53
