dosya,model,prompt_id,versiyon
dil_devrimi_standart.txt,qwen2.5:7b,dil_devrimi,standart
dil_devrimi_oz_turkce.txt,qwen2.5:7b,dil_devrimi,oz_turkce
ekonomi_standart.txt,qwen2.5:7b,ekonomi,standart
ekonomi_oz_turkce.txt,qwen2.5:7b,ekonomi,oz_turkce
egitim_standart.txt,qwen2.5:7b,egitim,standart
egitim_oz_turkce.txt,qwen2.5:7b,egitim,oz_turkce
teknoloji_standart.txt,qwen2.5:7b,teknoloji,standart
teknoloji_oz_turkce.txt,qwen2.5:7b,teknoloji,oz_turkce
saglik_standart.txt,qwen2.5:7b,saglik,standart
saglik_oz_turkce.txt,qwen2.5:7b,saglik,oz_turkce
cevre_standart.txt,qwen2.5:7b,cevre,standart
cevre_oz_turkce.txt,qwen2.5:7b,cevre,oz_turkce
kultur_standart.txt,qwen2.5:7b,kultur,standart
kultur_oz_turkce.txt,qwen2.5:7b,kultur,oz_turkce
medya_standart.txt,qwen2.5:7b,medya,standart
medya_oz_turkce.txt,qwen2.5:7b,medya,oz_turkce
tarih_standart.txt,qwen2.5:7b,tarih,standart
tarih_oz_turkce.txt,qwen2.5:7b,tarih,oz_turkce
bilim_standart.txt,qwen2.5:7b,bilim,standart
bilim_oz_turkce.txt,qwen2.5:7b,bilim,oz_turkce
edebiyat_standart.txt,qwen2.5:7b,edebiyat,standart
edebiyat_oz_turkce.txt,qwen2.5:7b,edebiyat,oz_turkce
toplum_standart.txt,qwen2.5:7b,toplum,standart
toplum_oz_turkce.txt,qwen2.5:7b,toplum,oz_turkce
hukuk_standart.txt,qwen2.5:7b,hukuk,standart
hukuk_oz_turkce.txt,qwen2.5:7b,hukuk,oz_turkce
is_dunyasi_standart.txt,qwen2.5:7b,is_dunyasi,standart
is_dunyasi_oz_turkce.txt,qwen2.5:7b,is_dunyasi,oz_turkce
spor_standart.txt,qwen2.5:7b,spor,standart
spor_oz_turkce.txt,qwen2.5:7b,spor,oz_turkce
sanat_standart.txt,qwen2.5:7b,sanat,standart
sanat_oz_turkce.txt,qwen2.5:7b,sanat,oz_turkce
ulasim_standart.txt,qwen2.5:7b,ulasim,standart
ulasim_oz_turkce.txt,qwen2.5:7b,ulasim,oz_turkce
gida_standart.txt,qwen2.5:7b,gida,standart
gida_oz_turkce.txt,qwen2.5:7b,gida,oz_turkce
genclik_standart.txt,qwen2.5:7b,genclik,standart
genclik_oz_turkce.txt,qwen2.5:7b,genclik,oz_turkce
turizm_standart.txt,qwen2.5:7b,turizm,standart
turizm_oz_turkce.txt,qwen2.5:7b,turizm,oz_turkce
